Search,"Potential Match","Customer Email","Website URL",Transactions
SEARCH,"Search Light Financial",seoteam@americancreative.com,http://www.searchlightfinancialadvisors.com/,"2015-03-24 12:56:23 - Custom Plan (American Creative- 80 Premium PRs)
2016-06-13 12:00:02 - Custom Plan (American Creative- 80 Premium PRs)
2015-09-17 12:00:02 - Custom Plan (American Creative- 80 Premium PRs)
2016-05-13 20:26:03 - Premium Distribution - Re-issue 
2016-02-14 12:00:02 - Custom Plan (American Creative- 80 Premium PRs)
2016-04-14 12:00:02 - Custom Plan (American Creative- 80 Premium PRs)
2016-07-06 20:41:23 - Custom Plan (American Creative- 80 Premium PRs)
2015-07-19 12:00:02 - Custom Plan (American Creative- 80 Premium PRs)
2015-12-16 12:00:02 - Custom Plan (American Creative- 80 Premium PRs)
2015-08-18 12:00:02 - Custom Plan (American Creative- 80 Premium PRs)
2015-05-19 15:40:02 - Custom Plan (American Creative- 80 Premium PRs)
2016-01-15 12:00:02 - Custom Plan (American Creative- 80 Premium PRs)
2016-05-14 12:00:02 - Custom Plan (American Creative- 80 Premium PRs)
2015-06-19 12:00:02 - Custom Plan (American Creative- 80 Premium PRs)
2015-11-16 12:00:02 - Custom Plan (American Creative- 80 Premium PRs)
2016-03-15 12:00:02 - Custom Plan (American Creative- 80 Premium PRs)
2015-10-17 12:00:02 - Custom Plan (American Creative- 80 Premium PRs)"
Cumming,"Cummings & Franck",seos988@gmail.com,http://www.cummingsandfranck.com/,"2015-12-13 07:41:55 - Custom Plan (Content Remarketing Custom Plan)"
IND,"Independent Professional",gr.mahindra@yandex.com,http://www.graphsandtables.jimdo.com,"2014-07-27 17:15:33 - Premium PR"
"Professional Capital Services","Professional Capital Services",boggesse@pcscapital.com,http://www.pcs401k.com,"2016-02-09 15:52:19 - Premium PR"
"Dynamic Systems","Dynamic Systems Inc.",dan.quigley@gleeble.com,http://www.Gleeble.com,"2015-06-16 17:45:36 - Premium PR"
"BCM One","BCM  One",pckauth@bcmone.com,,"2016-06-22 15:01:13 - BCM One Custom Premium Plus Package - Part 1
2016-06-06 14:41:45 - Premium Plus"
Roofcare,Roofcare,jonathan@roofcare.us,http://roofcare.us/,"2015-11-04 22:46:12 - Premium PR
2014-11-06 21:54:59 - Premium PR"
Kinetix,"Kinetix Trading Solutions Inc",admin@kinetixtt.com,http://www.kinetixtt.com,"2015-02-10 00:04:40 - Premium with PR Newswire"
"OSM Worldwide","osm worldwide",ckelley@osmworldwide.com,http://osmworldwide.com,"2015-08-21 15:12:34 - Premium Plus"
Rhythm,"Rhythm Events",mgerster@creativelicenseintl.com,http://rhythmeventsinc.com,"2015-04-29 22:22:47 - Premium PR
2016-01-18 21:35:02 - Custom Plan (CLi Digital Media)
2015-05-07 21:26:25 - Premium PR
2015-03-24 22:37:49 - Premium PR
2015-05-21 23:15:22 - Premium PR
2015-04-20 17:56:48 - Premium PR
2015-05-06 17:30:03 - Premium PR
2015-05-11 19:17:34 - Premium PR
2016-06-27 22:16:01 - Newsroom
2015-05-07 18:47:05 - Premium PR
2015-04-23 18:03:28 - Premium PR
2015-06-10 17:01:35 - Premium PR
2015-04-27 22:35:41 - Premium PR
2015-04-07 18:55:14 - Premium PR
2015-01-24 00:19:50 - Custom Plan (CLi Digital Media)
2015-03-30 23:57:24 - Premium PR
2015-07-24 23:02:22 - Newsroom
2015-04-26 23:27:17 - Premium PR
2015-04-27 23:10:38 - Premium PR
2015-05-07 18:54:19 - Premium PR
2015-06-05 21:07:50 - Newsroom"
B.I.Minds,"Bright Open Minds",eloizy@plsconsultinginc.com,,"2015-03-13 15:32:28 - Press Release Revisions (5) [10% off]
2016-01-02 14:25:03 - Platinum Plan (2015)
2015-06-30 17:25:02 - Platinum Plan (2015)
2016-05-01 14:25:02 - Platinum Plan (2015)
2015-10-05 14:22:56 - Platinum Plan (2015)
2015-11-03 14:25:02 - Platinum Plan (2015)
2015-04-01 17:25:02 - Platinum Plan (2015)
2016-04-01 14:25:02 - Platinum Plan (2015)
2016-05-31 14:25:02 - Platinum Plan (2015)
2015-05-31 17:25:02 - Platinum Plan (2015)
2016-05-23 15:59:58 - First USA - 5 Newsroom Credits $260 ($52 per newsroom)
2015-12-03 14:25:02 - Platinum Plan (2015)
2016-03-02 14:25:02 - Platinum Plan (2015)
2016-02-01 14:25:02 - Platinum Plan (2015)
2015-05-01 17:30:02 - Platinum Plan (2015)
2016-06-30 14:25:02 - Platinum Plan (2015)
2015-07-30 17:25:03 - Platinum Plan (2015)
2015-03-03 17:20:48 - Platinum Plan (2015)"
Parker's,"Parker Brand Creative Services",Oran@parkerbrandcreative.com,http://www.parkerbrandcreative.com,"2015-06-10 19:02:37 - Premium PR"
Xcentric,"Xcentric Mold & Engineering",craig.aubry@xcentricmold.com,,"2014-11-24 16:15:38 - Premium with PR Newswire"
Spark,"Sparkle Athletic",scott@redesignedmarketing.com,http://sparkleathletic.com/,"2016-05-27 17:13:01 - Premium PR
2016-05-12 16:04:20 - Professional Plan
2016-06-10 16:05:02 - Professional Plan
2016-06-01 20:53:53 - Premium PR
2016-02-02 17:22:57 - Premium PR"
"Steele Solutions","Steele Solutions",dniles@productiveknowledge.com,http://www.steelesolutions.com,"2015-05-05 15:48:39 - Premium PR
2015-08-14 15:52:45 - Premium PR
2015-08-26 13:54:54 - Premium PR
2015-09-02 12:30:31 - Premium PR"
Transformations,Transformations,rebecca@transformationsdesign.com,http://transformationsdesign.com,"2014-12-07 15:58:18 - Premium PR"
Transbeam,"Transbeam ",bbatten@transbeam.com,http://www.transbeam.com,"2015-12-07 18:55:05 - Premium with PR Newswire
2015-09-16 01:25:47 - Premium with PR Newswire
2016-02-04 16:04:39 - Transbeam Custom PRN Order
2016-01-11 19:25:35 - Premium with PR Newswire
2015-08-12 15:19:10 - Premium Plus
2015-10-14 13:27:52 - Premium with PR Newswire
2015-08-12 15:59:57 - Premium PR"
InfoStreet,Infostreet,marketing@infostreet.com,http://www.infostreet.com,"2016-02-09 18:28:38 - Silver Plan (12 Months) (2015)"
"Next Marketing","Next Generation Marketing Inc.",mgerster@creativelicenseintl.com,http://nextgenerationmarketinginc.com,"2015-04-29 22:22:47 - Premium PR
2016-01-18 21:35:02 - Custom Plan (CLi Digital Media)
2015-05-07 21:26:25 - Premium PR
2015-03-24 22:37:49 - Premium PR
2015-05-21 23:15:22 - Premium PR
2015-04-20 17:56:48 - Premium PR
2015-05-06 17:30:03 - Premium PR
2015-05-11 19:17:34 - Premium PR
2016-06-27 22:16:01 - Newsroom
2015-05-07 18:47:05 - Premium PR
2015-04-23 18:03:28 - Premium PR
2015-06-10 17:01:35 - Premium PR
2015-04-27 22:35:41 - Premium PR
2015-04-07 18:55:14 - Premium PR
2015-01-24 00:19:50 - Custom Plan (CLi Digital Media)
2015-03-30 23:57:24 - Premium PR
2015-07-24 23:02:22 - Newsroom
2015-04-26 23:27:17 - Premium PR
2015-04-27 23:10:38 - Premium PR
2015-05-07 18:54:19 - Premium PR
2015-06-05 21:07:50 - Newsroom"
